emp_a_p5,emp_a_p95,realwa_p95,realwa_p5,realwb_mean,realwa_mean,realwb_std,realwb_cont,realwa_cont
10.0,23.0,69.26115694190092,55.806347176293045,61.4591152480787,61.69511510436071,4.182591343127586,60.78575207747361,61.029661512225225
0.0,6.0,69.81764617141977,43.64484159335468,54.00002575068603,54.22281503257007,7.977744651809124,52.14330287382839,52.35160682341948
429.0,500.0,93.56317669496937,90.02406199211475,91.38550115317885,91.75351877233754,1.063805346525855,91.35395385808029,91.72116287334677
36.0,58.0,76.29269002588069,67.48318109405861,71.28518037632566,71.58238279869167,2.674085414372331,71.03643078855569,71.32186395861713
379.0,445.0,92.1945751070219,88.52750416884724,89.96122437139992,90.31922886578904,1.1077900486007488,89.92535524515132,90.28614393974654
1605.0,1740.0,113.1939761286235,110.9128316863308,111.59019760312684,112.03779354486782,0.6836749596018615,111.58524978667273,112.03225173883246
531.0,610.0,95.22180582465774,91.97415724595966,93.1878878475773,93.56610462252304,0.9759878154522098,93.1606678993787,93.53455855538921
1235.0,1353.0,109.96565920578391,107.46416803761016,108.26054487036804,108.69616332367814,0.7539057865574921,108.25252223760727,108.68629913768466
127.0,167.0,86.09933139766878,80.38859457449716,82.80454915541596,83.13342612579964,1.725837832879831,82.71278815997285,83.04386564826638
68.0,97.0,80.7974432477391,73.70171390979212,76.7503368133799,77.05623863105936,2.143053864700482,76.6074358250923,76.91405408623943
20.0,38.0,74.30866794114137,63.377065173934156,68.0769480144709,68.35835590233683,3.297489916855034,67.67407952281667,67.94493203704623
128.0,168.0,85.53190498917415,79.9003805165244,82.26845950908667,82.6029613290623,1.7076792240152157,82.1844404904387,82.51388619453118
2101.0,2255.0,113.9807115494032,111.97075385444268,112.5151486069293,112.96922852967448,0.6033699068502074,112.51120521314807,112.9635186631215
402.0,471.0,98.87214748026959,95.0253373807969,96.52504461990651,96.9046510778239,1.1588714049970454,96.48350619190391,96.86825777174927
37.0,60.0,79.68970784351787,70.67246310201682,74.58080588766555,74.88841956104962,2.7374002348071107,74.3369864474992,74.63261303539225
139.0,180.0,87.07242251792633,81.55164094968771,83.87859006718107,84.21544904518984,1.67548995757311,83.79897822182443,84.13496433645936
16.0,32.0,72.67427005404392,61.070260357028715,66.06201390320192,66.3163836161243,3.552166231192839,65.59920020594663,65.86169730019904
175.0,221.0,87.66580521074037,82.6501499119338,84.72904453769095,85.0716399950288,1.5120429877682469,84.66443090308019,85.00349228542267
922.0,1025.0,103.4800598270186,100.76090761862828,101.69002404415153,102.09499335824334,0.8161636833941653,101.67274863809253,102.07893288338076
431.0,502.0,95.11814460469138,91.5480307445011,92.911517387843,93.28709652130053,1.079817400989594,92.88161075204167,93.25481911220484
61.0,90.0,78.4325603093421,71.24848513929196,74.32929175254112,74.6349624194936,2.1686498954381213,74.18135853597651,74.47836620050649
1751.0,1891.0,109.5915065152103,107.49240135165299,108.09631839955468,108.52884754805045,0.6337205011106789,108.09107822029073,108.52444860764022
7.0,18.0,69.19319643188108,53.7269554733138,60.14637540202394,60.37721899145972,4.856011985104433,59.28003951620208,59.51734708860135
8980.0,9293.0,132.50031159720734,131.36544384637926,131.40133894013655,131.9315378351837,0.34372769852404483,131.40214283124843,131.92954538130414
244.0,298.0,87.96452447609063,83.65787063272214,85.39999814222158,85.7437221080859,1.3056898499765703,85.3483276179341,85.6906143282274
181.0,228.0,88.8186726366684,83.82089463270648,85.87488870932992,86.22632909721278,1.511273634686817,85.80621210331857,86.14965799849078
106.0,142.0,81.21888554967616,75.36672070411788,77.8417850301033,78.15598855736637,1.7632401806924702,77.74047093935995,78.05162688655396
104.0,140.0,83.82490137514672,77.72073927732706,80.31202761210211,80.64269938514619,1.839845296043878,80.21314513058601,80.535006616109
867.0,967.0,101.77541449914392,99.0185710337541,99.97059237715575,100.37393949126368,0.8291908623358731,99.95265651528189,100.35336251231523
104.0,140.0,82.88162907504943,76.87690184635015,79.42495120939495,79.74699309453135,1.823817760509242,79.32646602429396,79.64532255459925
376.0,442.0,92.29933823508873,88.59710772430353,90.04724895272183,90.40856981760825,1.1164883550582445,90.00924499955163,90.369939694764
20.0,38.0,75.31220813277446,64.36380897887352,69.05601410163369,69.34932441075276,3.3582082894904848,68.67910255243692,68.95399358501736
167.0,212.0,85.12641558447636,80.14922191596415,82.23794655561781,82.5596107072742,1.5049485354383592,82.16903164369188,82.49826466730642
97.0,133.0,81.96654925384708,75.85248106605712,78.45369943101595,78.77431814812513,1.850830335785929,78.34712772912063,78.661640826138
378.0,444.0,92.27356794897295,88.5648769164747,90.01191353146318,90.370864731423,1.1135111074505062,89.97982814975306,90.34009912488659
73.0,104.0,80.74207670680929,73.86775821581274,76.82437155115304,77.12663514051445,2.0702757558481037,76.67922199478787,76.98853073268737
180.0,227.0,85.24555490153311,80.443635134106,82.43268327910545,82.76164446946058,1.450360080662795,82.36696786397812,82.69693928084992
