res_a_p5,res_a_p95,realra_p95,realra_p5,realrb_mean,realra_mean,realrb_std,realrb_cont,realra_cont
1095.0,1207.0,12257.787311352185,11109.095005344883,11621.75072117506,11680.87804801594,348.3736693667162,11621.755443808528,11680.127463799281
1503.0,1633.0,9869.210439131375,9069.618090873664,9421.551679442657,9465.132634036861,241.78887955136497,9422.607893107132,9466.361579801138
1057.0,1166.0,11387.283128067904,10303.58243620097,10799.321276119972,10843.385794330892,329.6601584276759,10798.355808719567,10843.63427833501
532.0,610.0,16412.05528004864,14270.681246861466,15262.67566068881,15332.936991579985,648.8196039193873,15263.200402735785,15337.296166128206
487.0,562.0,16784.482094163606,14511.734527783929,15582.792665175915,15639.150908085143,691.6302327541397,15585.72782283511,15643.987629670895
1430.0,1557.0,7928.081867954855,7271.967276617986,7572.4858189910865,7599.101011817613,198.81279485370007,7573.273855353761,7600.342869890873
1286.0,1407.0,10281.103436436564,9386.903749514107,9791.976009227708,9831.693684511145,271.3754855920279,9792.052153776564,9833.476538917865
790.0,885.0,13652.717220784976,12159.658609746364,12851.940432638796,12899.240843711026,451.47519262249205,12852.213898104765,12900.646489563465
690.0,779.0,15704.553860627047,13884.262001628873,14716.589195144634,14786.940127476035,551.5099272007585,14721.315873448686,14790.827308535947
382.0,448.0,22752.67408138707,19304.39995426114,20907.665979384008,21010.897520434937,1041.2009281545513,20910.120481235732,21019.724032728867
602.0,686.0,17263.345899549528,15129.758003840616,16115.013141163645,16188.324097643796,644.945551207698,16116.79296353828,16188.837784631824
995.0,1102.0,15309.843104683441,13802.175412040755,14471.0987117459,14553.039872032428,452.95043207531523,14473.336364455292,14553.020157776216
760.0,854.0,17444.856571280572,15502.241662703746,16386.98990809026,16467.048538140112,586.1299970480994,16390.3210148193,16466.58625231043
884.0,985.0,16065.32102562647,14392.056138420248,15140.921255689589,15224.085773063738,504.80631034802633,15142.96595443467,15223.612740985052
958.0,1062.0,15589.76740061288,14029.054908822389,14730.217205927322,14806.087299098868,473.22433552564866,14730.871152388116,14806.94214334189
471.0,545.0,20236.800897854206,17442.357225519252,18743.588483721436,18824.905572635987,843.3868145076387,18745.907375759125,18832.224749194327
260.0,316.0,29890.799825836944,24522.253904924783,27065.346529519462,27174.894246451408,1616.1943391784303,27060.722072370685,27176.629907409828
965.0,1069.0,14208.545804552807,12794.79203572321,13434.508623092615,13494.997830884511,428.27913822394044,13433.883688035812,13494.422387160907
794.0,890.0,15198.832238233881,13537.22171515075,14297.243863398066,14362.51495397942,500.9439939115081,14296.620836304732,14365.999606750669
697.0,787.0,14543.969090792403,12863.671109182653,13640.973210272525,13700.063267686775,509.0541076351828,13641.730757457037,13698.977635619573
1614.0,1749.0,10614.70881130463,9783.133586865606,10149.417889953893,10197.551716034235,251.54716519245534,10150.581045936602,10198.572220965067
840.0,938.0,15182.450949514448,13573.200617885375,14298.629035184913,14370.827908230534,486.56006155100783,14301.049152809896,14372.294121507164
