ventile_id,simulation_id,real_rb_mean,real_ra_mean,res_b_mean,res_a_mean,dist_ij_maximum,dist_ij_minimum
5,58,242.43375871946174,243.29611758282263,1225.2222222222222,1225.5648148148148,7.099010562158709,6.2193607634696795
6,58,240.71580360290938,241.25749523496663,1189.9259259259259,1190.4814814814815,8.009865765886136,7.099010562158709
7,58,233.02371852486078,233.4985171994466,1220.1574074074074,1220.4259259259259,9.067303845096996,8.009865765886136
8,58,231.5367866479786,231.9896554234117,1080.8796296296296,1080.6666666666667,10.04996750303151,9.067303845096996
9,58,221.13673115617806,222.15432258183026,1074.0555555555557,1075.351851851852,10.757118479298125,10.04996750303151
10,58,221.3009966388941,221.60726902327693,1097.398148148148,1097.8240740740741,11.497848880095894,10.757118479298125
11,58,212.4954093152444,212.65509924968813,1029.5185185185185,1028.9259259259259,12.109091001333718,11.497848880095894
12,58,195.96336785595963,196.23762677771242,1124.648148148148,1124.148148148148,12.807556292781596,12.109091001333718
13,58,208.97961862158516,209.3371843423478,983.9537037037037,983.9537037037037,13.534002919449897,12.807556292781596
14,58,209.06646366955135,209.50617051852302,935.8611111111111,935.8333333333334,14.213223355492133,13.534002919449897
15,58,205.74509287129493,205.69134778078913,904.8981481481482,903.7222222222222,14.990022927080933,14.213223355492133
16,58,211.03778455891444,211.4664723894007,863.9814814814815,863.0185185185185,15.857134762354208,14.990022927080933
17,58,203.73216754447404,203.73741198219065,850.3148148148148,849.8703703703703,16.73930680095249,15.857134762354208
18,58,186.98720899903063,187.27341557627764,1016.1666666666666,1015.6481481481482,18.185193908963573,16.73930680095249
19,58,167.9822674358546,168.16800773376414,915.8703703703703,915.4722222222222,20.03230371924933,18.185193908963573
20,58,119.92018149912376,120.12132414691418,1379.3703703703704,1378.9259259259259,36.47608118563621,20.03230371924933
1,59,280.6247047799947,280.73249862042786,1634.9814814814815,1635.6851851851852,3.2207496030095855,0.0
2,59,246.83483842089984,247.54509988907864,1668.7222222222222,1669.2592592592594,4.209577041627323,3.2207496030095855
3,59,250.66261795319298,251.64188271420485,1429.5185185185185,1430.1759259259259,5.273829034979965,4.209577041627323
4,59,228.67489204933918,229.26611662440544,1413.5740740740741,1413.6574074074074,6.2193607634696795,5.273829034979965
5,59,242.2301085895036,242.76880146262775,1226.7962962962963,1226.537037037037,7.099010562158709,6.2193607634696795
6,59,240.07631689466112,240.61492263682106,1190.037037037037,1190.638888888889,8.009865765886136,7.099010562158709
7,59,231.48319839589442,232.4647239327162,1216.2592592592594,1217.5648148148148,9.067303845096996,8.009865765886136
8,59,232.33764355780184,232.34052571342596,1082.6574074074074,1082.148148148148,10.04996750303151,9.067303845096996
9,59,224.4522857740036,224.78257896181097,1084.3148148148148,1083.898148148148,10.757118479298125,10.04996750303151
10,59,219.33475109879697,220.0125424631026,1093.1203703703704,1093.6574074074074,11.497848880095894,10.757118479298125
11,59,213.8179353168652,213.93591939714202,1027.0,1026.888888888889,12.109091001333718,11.497848880095894
12,59,194.47554884683836,194.67469913534939,1117.6574074074074,1116.8703703703704,12.807556292781596,12.109091001333718
13,59,210.73324416234456,211.0868643256826,980.7222222222222,981.1388888888889,13.534002919449897,12.807556292781596
14,59,224.32579703207742,224.61816452625646,938.6574074074074,938.3518518518518,14.213223355492133,13.534002919449897
15,59,205.50086915378637,205.6896636568834,910.3055555555555,909.6203703703703,14.990022927080933,14.213223355492133
16,59,209.87744262251266,209.96450214427875,862.5462962962963,862.3333333333334,15.857134762354208,14.990022927080933
17,59,206.87060286281792,206.96609444809997,854.2685185185185,853.5185185185185,16.73930680095249,15.857134762354208
18,59,187.953016254113,188.40368144138634,1020.7407407407408,1021.1388888888889,18.185193908963573,16.73930680095249
19,59,168.6288778656508,169.07759269843962,917.2870370370371,917.6296296296297,20.03230371924933,18.185193908963573
20,59,121.92094883076314,121.88865432878053,1376.25,1374.7037037037037,36.47608118563621,20.03230371924933
1,60,280.6903010466814,281.79909856234576,1629.2592592592594,1630.9351851851852,3.2207496030095855,0.0
2,60,246.88410347469485,247.59970066240254,1673.0,1673.712962962963,4.209577041627323,3.2207496030095855
3,60,255.05119083490933,255.82123325176374,1437.8333333333333,1437.25,5.273829034979965,4.209577041627323
4,60,227.97486521362407,228.6093882307586,1411.6203703703704,1411.7314814814815,6.2193607634696795,5.273829034979965
5,60,242.91797154290802,243.75298649218232,1229.75,1230.2592592592594,7.099010562158709,6.2193607634696795
6,60,242.1359753896137,242.5667366815986,1194.2407407407406,1194.4351851851852,8.009865765886136,7.099010562158709
7,60,234.5992786203993,234.93262642944336,1220.888888888889,1220.0925925925926,9.067303845096996,8.009865765886136
8,60,231.63165914261182,232.3050537190864,1073.287037037037,1073.2962962962963,10.04996750303151,9.067303845096996
9,60,224.27530492601966,224.95882404822922,1081.6944444444443,1082.2222222222222,10.757118479298125,10.04996750303151
10,60,220.09010503045604,220.65581770542929,1092.6944444444443,1092.9814814814815,11.497848880095894,10.757118479298125
11,60,213.71341333031688,213.92307177758397,1024.888888888889,1024.5185185185185,12.109091001333718,11.497848880095894
